Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist Secret Management?;Secret Management schützt und verwaltet vertrauliche Werte wie Passwörter, API-Schlüssel und Zertifikatsschlüssel zentral und kontrolliert.;Secret Management schützt und ignoriert vertrauliche Werte wie Passwörter, API-Schlüssel und Zertifikatsschlüssel zentral und kontrolliert.;Secret Management schützt und blockiert vertrauliche Werte wie Passwörter, API-Schlüssel und Zertifikatsschlüssel zentral und kontrolliert.;Secret Management schützt und löscht vertrauliche Werte wie Passwörter, API-Schlüssel und Zertifikatsschlüssel zentral und kontrolliert.
Was ist ein Container-Registry?;Eine Container-Registry speichert, versioniert und verteilt Container-Images.;Eine Container-Registry löscht, versioniert und verteilt Container-Images.;Eine Container-Registry ignoriert, versioniert und verteilt Container-Images.;Eine Container-Registry sendet unverschlüsselt, versioniert und verteilt Container-Images.
Was ist Blue-Green-Deployment?;Blue-Green-Deployment betreibt zwei nahezu identische Umgebungen und schaltet den Datenverkehr kontrolliert von der alten auf die neue Version um.;Blue-Green-Deployment speichert ausschließlich Passwörter und Zugangsdaten.;Blue-Green-Deployment ersetzt ein vollständiges Backup aller Dateien.;Blue-Green-Deployment ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Canary Deployment?;Canary Deployment stellt eine neue Version zunächst nur einem kleinen Teil des Datenverkehrs bereit und erweitert den Anteil bei erfolgreichen Tests.;Canary Deployment stellt eine neue Version zunächst nur einem kleinen Teil des Datenverkehrs bereit und verringert den Anteil bei erfolgreichen Tests.;Canary Deployment stellt eine neue Version zunächst nur einem kleinen Teil des Datenverkehrs bereit und blockiert den Anteil bei erfolgreichen Tests.;Canary Deployment stellt eine neue Version zunächst nur einem kleinen Teil des Datenverkehrs bereit und löscht den Anteil bei erfolgreichen Tests.
Was ist Rolling Deployment?;Rolling Deployment aktualisiert Instanzen schrittweise, während andere Instanzen weiterlaufen.;Rolling Deployment speichert ausschließlich Passwörter und Zugangsdaten.;Rolling Deployment ersetzt ein vollständiges Backup aller Dateien.;Rolling Deployment ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Rollback?;Ein Rollback stellt eine zuvor funktionierende Version oder Konfiguration wieder her.;Rollback speichert ausschließlich Passwörter und Zugangsdaten.;Rollback ersetzt ein vollständiges Backup aller Dateien.;Rollback ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Feature Toggle?;Ein Feature Toggle steuert per Konfiguration, ob eine Funktion für Benutzer aktiviert oder deaktiviert ist.;Feature Toggle speichert ausschließlich Passwörter und Zugangsdaten.;Feature Toggle ersetzt ein vollständiges Backup aller Dateien.;Feature Toggle ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Shift Left?;Shift Left bedeutet, Tests und Sicherheitsprüfungen möglichst früh in den Entwicklungsprozess zu verlagern.;Shift Left speichert ausschließlich Passwörter und Zugangsdaten.;Shift Left ersetzt ein vollständiges Backup aller Dateien.;Shift Left ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Observability?;Observability beschreibt die Fähigkeit, den internen Zustand eines Systems anhand von Metriken, Logs und Traces aus seinen externen Signalen abzuleiten.;Observability speichert ausschließlich Passwörter und Zugangsdaten.;Observability ersetzt ein vollständiges Backup aller Dateien.;Observability ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Tracing?;Tracing verfolgt den Ablauf einer Anfrage über mehrere Dienste hinweg und hilft, Laufzeiten und Fehlerursachen zu analysieren.;Tracing speichert ausschließlich Passwörter und Zugangsdaten.;Tracing ersetzt ein vollständiges Backup aller Dateien.;Tracing ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Automatisierung in DevOps?;Automatisierung führt wiederkehrende Schritte wie Tests, Builds, Bereitstellung und Infrastrukturänderungen reproduzierbar aus.;Automatisierung in DevOps speichert ausschließlich Passwörter und Zugangsdaten.;Automatisierung in DevOps ersetzt ein vollständiges Backup aller Dateien.;Automatisierung in DevOps ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Git?;Git ist ein verteiltes Versionskontrollsystem zur Nachverfolgung und Zusammenführung von Änderungen.;Git speichert ausschließlich Passwörter und Zugangsdaten.;Git ersetzt ein vollständiges Backup aller Dateien.;Git ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Dependency Management?;Dependency Management verwaltet Bibliotheken und andere Abhängigkeiten eines Projekts einschließlich Versionen und Herkunft.;Dependency Management ignoriert Bibliotheken und andere Abhängigkeiten eines Projekts einschließlich Versionen und Herkunft.;Dependency Management blockiert Bibliotheken und andere Abhängigkeiten eines Projekts einschließlich Versionen und Herkunft.;Dependency Management löscht Bibliotheken und andere Abhängigkeiten eines Projekts einschließlich Versionen und Herkunft.
Was ist ein Release?;Ein Release ist eine veröffentlichte und identifizierbare Version eines Softwareprodukts oder einer Softwarekomponente.;Release speichert ausschließlich Passwörter und Zugangsdaten.;Release ersetzt ein vollständiges Backup aller Dateien.;Release ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist SRE?;Site Reliability Engineering ist ein Ansatz, der Software Engineering und Betriebspraktiken verbindet, um Zuverlässigkeit, Verfügbarkeit und Skalierbarkeit zu steuern.;SRE speichert ausschließlich Passwörter und Zugangsdaten.;SRE ersetzt ein vollständiges Backup aller Dateien.;SRE ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Runbook?;Ein Runbook enthält standardisierte, ausführbare Schritte für wiederkehrende Betriebs- oder Störungsaufgaben.;Ein Runbook entlöscht standardisierte, ausführbare Schritte für wiederkehrende Betriebs- oder Störungsaufgaben.;Ein Runbook entversteckt standardisierte, ausführbare Schritte für wiederkehrende Betriebs- oder Störungsaufgaben.;Ein Runbook entverschlüsselt standardisierte, ausführbare Schritte für wiederkehrende Betriebs- oder Störungsaufgaben.
Was ist eine Deployment-Strategie?;Eine Deployment-Strategie legt fest, wie eine neue Softwareversion technisch ausgerollt und der Datenverkehr auf sie gelenkt wird.;Deployment-Strategie speichert ausschließlich Passwörter und Zugangsdaten.;Deployment-Strategie ersetzt ein vollständiges Backup aller Dateien.;Deployment-Strategie ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Source-Control-System?;Ein Source-Control-System verwaltet Änderungen an Quellcode und ermöglicht das Vergleichen, Wiederherstellen und Zusammenführen von Versionsständen.;Ein Source-Control-System ignoriert Änderungen an Quellcode und ermöglicht das Vergleichen, Wiederherstellen und Zusammenführen von Versionsständen.;Ein Source-Control-System blockiert Änderungen an Quellcode und ermöglicht das Vergleichen, Wiederherstellen und Zusammenführen von Versionsständen.;Ein Source-Control-System löscht Änderungen an Quellcode und ermöglicht das Vergleichen, Wiederherstellen und Zusammenführen von Versionsständen.
Was ist Continuous Integration?;Continuous Integration integriert Änderungen regelmäßig in eine gemeinsame Codebasis und prüft sie automatisiert durch Builds und Tests.;Continuous Integration integriert Änderungen regelmäßig in eine gemeinsame Codebasis und ignoriert sie automatisiert durch Builds und Tests.;Continuous Integration integriert Änderungen regelmäßig in eine gemeinsame Codebasis und löscht sie automatisiert durch Builds und Tests.;Continuous Integration integriert Änderungen regelmäßig in eine gemeinsame Codebasis und startet sie automatisiert durch Builds und Tests.
Was ist ein Artifact Repository?;Ein Artifact Repository speichert versionierte Build-Artefakte wie Pakete, Bibliotheken oder Container-Images.;Ein Artifact Repository löscht versionierte Build-Artefakte wie Pakete, Bibliotheken oder Container-Images.;Ein Artifact Repository ignoriert versionierte Build-Artefakte wie Pakete, Bibliotheken oder Container-Images.;Ein Artifact Repository sendet unverschlüsselt versionierte Build-Artefakte wie Pakete, Bibliotheken oder Container-Images.
Was ist eine CI/CD-Gate-Prüfung?;Eine Gate-Prüfung entscheidet anhand definierter Kriterien, ob die Pipeline mit dem nächsten Schritt fortfahren darf.;CI/CD-Gate-Prüfung speichert ausschließlich Passwörter und Zugangsdaten.;CI/CD-Gate-Prüfung ersetzt ein vollständiges Backup aller Dateien.;CI/CD-Gate-Prüfung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Rollback in einer Pipeline?;Rollback stellt eine zuvor funktionierende Version oder Konfiguration wieder her, wenn eine neue Bereitstellung fehlschlägt.;Rollback in einer Pipeline speichert ausschließlich Passwörter und Zugangsdaten.;Rollback in einer Pipeline ersetzt ein vollständiges Backup aller Dateien.;Rollback in einer Pipeline ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Redundanz?;Redundanz bedeutet, dass kritische Komponenten oder Daten mehrfach vorhanden sind, um Ausfälle abzufangen.;Redundanz speichert ausschließlich Passwörter und Zugangsdaten.;Redundanz ersetzt ein vollständiges Backup aller Dateien.;Redundanz ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
