Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist ein Protokoll?;Ein Protokoll definiert Regeln für die Kommunikation zwischen Geräten oder Programmen.;Ein Protokoll ignoriert Regeln für die Kommunikation zwischen Geräten oder Programmen.;Ein Protokoll definiert nicht Regeln für die Kommunikation zwischen Geräten oder Programmen.;Ein Protokoll definiert Regeln für die Kommunikation zwischen Geräten und Programmen.
Was ist Redundanz in der IT?;Redundanz bedeutet, dass Komponenten oder Daten mehrfach vorhanden sind, um Ausfälle abzufangen.;Redundanz bedeutet, dass Komponenten oder Daten mehrfach vorhanden sind nicht, um Ausfälle abzufangen.;Redundanz bedeutet, dass Komponenten und Daten mehrfach vorhanden sind, um Ausfälle abzufangen.;Redundanz bedeutet nicht, dass Komponenten oder Daten mehrfach vorhanden sind, um Ausfälle abzufangen.
Was bedeutet Skalierbarkeit?;Skalierbarkeit beschreibt die Fähigkeit eines Systems, bei steigender Last angepasst zu werden.;Skalierbarkeit verschweigt die Fähigkeit eines Systems, bei steigender Last angepasst zu werden.;Skalierbarkeit beschreibt nicht die Fähigkeit eines Systems, bei steigender Last angepasst zu werden.;Skalierbarkeit beschreibt die Fähigkeit eines Systems nicht, bei steigender Last angepasst zu werden.
Was ist Open Source?;Open-Source-Software stellt ihren Quellcode unter bestimmten Lizenzbedingungen zur Verfügung.;Open-Source-Software löscht ihren Quellcode unter bestimmten Lizenzbedingungen zur Verfügung.;Open-Source-Software stellt nicht ihren Quellcode unter bestimmten Lizenzbedingungen zur Verfügung.;Open-Source-Software stellt ihren Quellcode unter bestimmten Lizenzbedingungen zur Verfügung nicht.
Was ist ein Algorithmus?;Ein Algorithmus ist eine endliche, eindeutig beschriebene Folge von Schritten zur Lösung eines Problems.;Ein Algorithmus ist nicht eine endliche, eindeutig beschriebene Folge von Schritten zur Lösung eines Problems.;Ein Algorithmus ist ausschließlich eine endliche, eindeutig beschriebene Folge von Schritten zur Lösung eines Problems.;Ein Algorithmus ist eine endliche nicht, eindeutig beschriebene Folge von Schritten zur Lösung eines Problems.
Was ist ein Datenmodell?;Ein Datenmodell beschreibt die Struktur, Eigenschaften und Beziehungen von Daten.;Ein Datenmodell verschweigt die Struktur, Eigenschaften und Beziehungen von Daten.;Ein Datenmodell beschreibt nicht die Struktur, Eigenschaften und Beziehungen von Daten.;Ein Datenmodell beschreibt die Struktur, Eigenschaften oder Beziehungen von Daten.
Was ist ein Datentyp?;Ein Datentyp legt fest, welche Art von Wert gespeichert und wie dieser verarbeitet wird.;Ein Datentyp legt fest, welche Art von Wert gespeichert und wie dieser verwirft wird.;Ein Datentyp hebt auf, welche Art von Wert gespeichert und wie dieser verarbeitet wird.;Ein Datentyp legt fest, welche Art von Wert gespeichert und wie dieser verarbeitet nicht wird.
Was ist Binärdarstellung?;Bei der Binärdarstellung werden Informationen mit den Ziffern 0 und 1 dargestellt.;Bei der Binärdarstellung werden Informationen mit den Ziffern 1 und 1 dargestellt.;Bei der Binärdarstellung werden Informationen mit den Ziffern 2 und 1 dargestellt.;Bei der Binärdarstellung werden Informationen mit den Ziffern 0 und 2 dargestellt.
Wie wird die Dezimalzahl 10 binär dargestellt?;Die Dezimalzahl 10 entspricht binär 1010.;Ein Byte besteht aus 8 Bits.;Die Dezimalzahl 4 entspricht binär 1010.;Die Dezimalzahl 5 entspricht binär 1010.
Was ist ein Hexadezimalsystem?;Das Hexadezimalsystem ist ein Zahlensystem zur Basis 16 mit den Ziffern 0–9 und A–F.;Das Hexadezimalsystem ist ein Zahlensystem zur Basis 2 mit den Ziffern 0–9 und A–F.;Das Hexadezimalsystem ist ein Zahlensystem zur Basis 4 mit den Ziffern 0–9 und A–F.;Das Hexadezimalsystem ist ein Zahlensystem zur Basis 7 mit den Ziffern 0–9 und A–F.
Wie viele unterschiedliche Werte können mit 8 Bit dargestellt werden?;Mit 8 Bit können 2^8 = 256 unterschiedliche Werte dargestellt werden.;4;9;16
Was ist ASCII?;ASCII ist eine Zeichenkodierung, die Zeichen ursprünglich mit 7 Bit abbildet und 128 Zeichen definiert.;ASCII ist eine Zeichenkodierung, die Zeichen ursprünglich mit 5 Bit abbildet und 128 Zeichen definiert.;ASCII ist eine Zeichenkodierung, die Zeichen ursprünglich mit 6 Bit abbildet und 128 Zeichen definiert.;ASCII ist eine Zeichenkodierung, die Zeichen ursprünglich mit 8 Bit abbildet und 128 Zeichen definiert.
Was ist UTF-8?;UTF-8 ist eine Unicode-Kodierung mit variabler Byte-Länge, die die Zeichen von Unicode abbilden kann.;UTF-2 ist eine Unicode-Kodierung mit variabler Byte-Länge, die die Zeichen von Unicode abbilden kann.;UTF-4 ist eine Unicode-Kodierung mit variabler Byte-Länge, die die Zeichen von Unicode abbilden kann.;UTF-6 ist eine Unicode-Kodierung mit variabler Byte-Länge, die die Zeichen von Unicode abbilden kann.
Was ist ein Datenformat?;Ein Datenformat legt fest, wie Informationen strukturiert und gespeichert oder übertragen werden.;Ein Datenformat hebt auf, wie Informationen strukturiert und gespeichert oder übertragen werden.;Ein Datenformat legt fest, wie Informationen strukturiert und gespeichert oder übertragen werden nicht.;Ein Datenformat legt fest, wie Informationen strukturiert oder gespeichert oder übertragen werden.
Was ist eine Schnittstelle?;Eine Schnittstelle definiert, wie zwei Systeme, Komponenten oder Programme Informationen austauschen.;Eine Schnittstelle ignoriert, wie zwei Systeme, Komponenten oder Programme Informationen austauschen.;Eine Schnittstelle definiert nicht, wie zwei Systeme, Komponenten oder Programme Informationen austauschen.;Eine Schnittstelle definiert, wie zwei Systeme, Komponenten und Programme Informationen austauschen.
Was ist eine API?;Eine API ist eine definierte Programmierschnittstelle, über die Software Funktionen oder Daten bereitstellt.;Eine API ist nicht eine definierte Programmierschnittstelle, über die Software Funktionen oder Daten bereitstellt.;Eine API ist eine definierte Programmierschnittstelle, über die Software Funktionen und Daten bereitstellt.;Eine API ist ausschließlich eine definierte Programmierschnittstelle, über die Software Funktionen oder Daten bereitstellt.
Was bedeutet Standardisierung?;Standardisierung legt einheitliche Regeln und technische Vorgaben fest, damit Systeme interoperabel arbeiten können.;Standardisierung legt einheitliche Regeln und technische Vorgaben fest, damit Systeme interoperabel arbeiten können nicht.;Standardisierung legt einheitliche Regeln oder technische Vorgaben fest, damit Systeme interoperabel arbeiten können.;Standardisierung legt einheitliche Regeln und technische Vorgaben fest nicht, damit Systeme interoperabel arbeiten können.
Was bedeutet Interoperabilität?;Interoperabilität ist die Fähigkeit verschiedener Systeme, Daten auszutauschen und sinnvoll zusammenzuarbeiten.;Interoperabilität ist nicht die Fähigkeit verschiedener Systeme, Daten auszutauschen und sinnvoll zusammenzuarbeiten.;Interoperabilität ist die Fähigkeit verschiedener Systeme, Daten auszutauschen oder sinnvoll zusammenzuarbeiten.;Interoperabilität ist ausschließlich die Fähigkeit verschiedener Systeme, Daten auszutauschen und sinnvoll zusammenzuarbeiten.
Was ist ein proprietäres System?;Ein proprietäres System wird von einem Anbieter kontrolliert und unter dessen festgelegten Nutzungsbedingungen betrieben.;Ein proprietäres System wird nicht von einem Anbieter kontrolliert und unter dessen festgelegten Nutzungsbedingungen betrieben.;Ein proprietäres System wird von einem Anbieter kontrolliert oder unter dessen festgelegten Nutzungsbedingungen betrieben.;Ein proprietäres System wird von einem Anbieter kontrolliert und unter dessen festgelegten Nutzungsbedingungen betrieben nicht.
Was ist eine Open-Source-Lizenz?;Eine Open-Source-Lizenz regelt die Nutzung, Veränderung und Weitergabe von Software, deren Quellcode verfügbar ist.;Eine Open-Source-Lizenz hebt auf die Nutzung, Veränderung und Weitergabe von Software, deren Quellcode verfügbar ist.;Eine Open-Source-Lizenz regelt nicht die Nutzung, Veränderung und Weitergabe von Software, deren Quellcode verfügbar ist.;Eine Open-Source-Lizenz regelt die Nutzung, Veränderung oder Weitergabe von Software, deren Quellcode verfügbar ist.
Was bedeutet Fehlertoleranz?;Fehlertoleranz bezeichnet die Fähigkeit eines Systems, trotz bestimmter Fehler weiter funktionsfähig zu bleiben.;Fehlertoleranz versteckt die Fähigkeit eines Systems, trotz bestimmter Fehler weiter funktionsfähig zu bleiben.;Fehlertoleranz bezeichnet nicht die Fähigkeit eines Systems, trotz bestimmter Fehler weiter funktionsfähig zu bleiben.;Fehlertoleranz bezeichnet die Fähigkeit eines Systems nicht, trotz bestimmter Fehler weiter funktionsfähig zu bleiben.
Was bedeutet Hochverfügbarkeit?;Hochverfügbarkeit bezeichnet die Auslegung eines Systems auf eine sehr hohe Betriebsbereitschaft durch Maßnahmen wie Redundanz und Failover.;Hochverfügbarkeit versteckt die Auslegung eines Systems auf eine sehr hohe Betriebsbereitschaft durch Maßnahmen wie Redundanz und Failover.;Hochverfügbarkeit bezeichnet nicht die Auslegung eines Systems auf eine sehr hohe Betriebsbereitschaft durch Maßnahmen wie Redundanz und Failover.;Hochverfügbarkeit bezeichnet die Auslegung eines Systems auf eine sehr hohe Betriebsbereitschaft durch Maßnahmen wie Redundanz oder Failover.
Was ist ein Single Point of Failure?;Ein Single Point of Failure ist eine einzelne Komponente, deren Ausfall den gesamten benötigten Dienst beeinträchtigen kann.;Ein Single Point of Failure ist nicht eine einzelne Komponente, deren Ausfall den gesamten benötigten Dienst beeinträchtigen kann.;Ein Single Point of Failure ist ausschließlich eine einzelne Komponente, deren Ausfall den gesamten benötigten Dienst beeinträchtigen kann.;Ein Single Point of Failure ist eine einzelne Komponente nicht, deren Ausfall den gesamten benötigten Dienst beeinträchtigen kann.
Was ist Skalierbarkeit?;Skalierbarkeit ist die Fähigkeit eines Systems, seine Kapazität an steigende oder sinkende Anforderungen anzupassen.;Skalierbarkeit ist nicht die Fähigkeit eines Systems, seine Kapazität an steigende oder sinkende Anforderungen anzupassen.;Skalierbarkeit ist die Fähigkeit eines Systems, seine Kapazität an steigende und sinkende Anforderungen anzupassen.;Skalierbarkeit ist ausschließlich die Fähigkeit eines Systems, seine Kapazität an steigende oder sinkende Anforderungen anzupassen.
Was ist vertikale Skalierung?;Vertikale Skalierung erweitert die Ressourcen eines einzelnen Systems, beispielsweise durch mehr RAM oder CPU-Leistung.;Vertikale Skalierung erweitert die Ressourcen eines einzelnen Systems, beispielsweise durch mehr ROM oder CPU-Leistung.;Vertikale Skalierung verkleinert die Ressourcen eines einzelnen Systems, beispielsweise durch mehr RAM oder CPU-Leistung.;Vertikale Skalierung erweitert die Ressourcen eines einzelnen Systems, beispielsweise durch mehr RAM und CPU-Leistung.
Was ist horizontale Skalierung?;Horizontale Skalierung erhöht die Kapazität durch zusätzliche Systeme oder Instanzen.;Horizontale Skalierung verringert die Kapazität durch zusätzliche Systeme oder Instanzen.;Horizontale Skalierung erhöht die Kapazität durch zusätzliche Systeme und Instanzen.;Horizontale Skalierung erhöht die Kapazität durch zusätzliche Systeme oder Instanzen nicht.
Was ist Redundanz?;Redundanz bedeutet, dass wichtige Komponenten oder Daten mehrfach vorhanden sind, um Ausfälle abzufangen.;Redundanz bedeutet, dass wichtige Komponenten oder Daten mehrfach vorhanden sind nicht, um Ausfälle abzufangen.;Redundanz bedeutet, dass wichtige Komponenten und Daten mehrfach vorhanden sind, um Ausfälle abzufangen.;Redundanz bedeutet nicht, dass wichtige Komponenten oder Daten mehrfach vorhanden sind, um Ausfälle abzufangen.
Was ist Latenz?;Latenz ist die Zeitverzögerung zwischen dem Absenden einer Anfrage und dem Eintreffen der Antwort beziehungsweise Daten.;Latenz ist nicht die Zeitverzögerung zwischen dem Absenden einer Anfrage und dem Eintreffen der Antwort beziehungsweise Daten.;Latenz ist die Zeitverzögerung zwischen dem Absenden einer Anfrage oder dem Eintreffen der Antwort beziehungsweise Daten.;Latenz ist ausschließlich die Zeitverzögerung zwischen dem Absenden einer Anfrage und dem Eintreffen der Antwort beziehungsweise Daten.
Was ist Durchsatz?;Durchsatz ist die Menge an Daten oder Arbeit, die ein System pro Zeiteinheit verarbeitet.;Durchsatz ist die Menge an Daten oder Arbeit, die ein System pro Zeiteinheit verwirft.;Durchsatz ist nicht die Menge an Daten oder Arbeit, die ein System pro Zeiteinheit verarbeitet.;Durchsatz ist die Menge an Daten und Arbeit, die ein System pro Zeiteinheit verarbeitet.
Was ist eine Spezifikation?;Eine Spezifikation beschreibt verbindlich technische Eigenschaften, Anforderungen oder Schnittstellen eines Systems.;Eine Spezifikation verschweigt verbindlich technische Eigenschaften, Anforderungen oder Schnittstellen eines Systems.;Eine Spezifikation beschreibt nicht verbindlich technische Eigenschaften, Anforderungen oder Schnittstellen eines Systems.;Eine Spezifikation beschreibt verbindlich technische Eigenschaften, Anforderungen und Schnittstellen eines Systems.
Was ist eine Anforderung?;Eine Anforderung beschreibt eine gewünschte oder notwendige Eigenschaft, Funktion oder Randbedingung eines Systems.;Eine Anforderung verschweigt eine gewünschte oder notwendige Eigenschaft, Funktion oder Randbedingung eines Systems.;Eine Anforderung beschreibt nicht eine gewünschte oder notwendige Eigenschaft, Funktion oder Randbedingung eines Systems.;Eine Anforderung beschreibt eine gewünschte und notwendige Eigenschaft, Funktion oder Randbedingung eines Systems.
Was ist der Unterschied zwischen funktionalen und nichtfunktionalen Anforderungen?;"Funktionale Anforderungen beschreiben, was ein System leisten soll; nichtfunktionale Anforderungen beschreiben Qualitätsmerkmale und Randbedingungen wie Performance oder Sicherheit.";"Funktionale Anforderungen beschreiben, was ein System leisten soll; nichtfunktionale Anforderungen beschreiben Qualitätsmerkmale oder Randbedingungen wie Performance oder Sicherheit.";"Funktionale Anforderungen beschreiben, was ein System leisten soll; nichtfunktionale Anforderungen beschreiben Qualitätsmerkmale und Randbedingungen wie Performance und Sicherheit.";"Funktionale Anforderungen beschreiben nicht, was ein System leisten soll; nichtfunktionale Anforderungen beschreiben Qualitätsmerkmale und Randbedingungen wie Performance oder Sicherheit."
Was ist ein Lastenheft?;Ein Lastenheft beschreibt die Anforderungen und Ziele des Auftraggebers aus dessen Sicht.;Ein Lastenheft verschweigt die Anforderungen und Ziele des Auftraggebers aus dessen Sicht.;Ein Lastenheft beschreibt nicht die Anforderungen und Ziele des Auftraggebers aus dessen Sicht.;Ein Lastenheft beschreibt die Anforderungen oder Ziele des Auftraggebers aus dessen Sicht.
Was ist ein Pflichtenheft?;Ein Pflichtenheft beschreibt, wie der Auftragnehmer die Anforderungen des Lastenhefts technisch und organisatorisch umsetzt.;Ein Pflichtenheft verschweigt, wie der Auftragnehmer die Anforderungen des Lastenhefts technisch und organisatorisch umsetzt.;Ein Pflichtenheft beschreibt nicht, wie der Auftragnehmer die Anforderungen des Lastenhefts technisch und organisatorisch umsetzt.;Ein Pflichtenheft beschreibt, wie der Auftragnehmer die Anforderungen des Lastenhefts technisch oder organisatorisch umsetzt.
Was ist ein Protokoll in der IT?;Ein Protokoll definiert Regeln für den Aufbau, die Übertragung und die Verarbeitung von Informationen zwischen Kommunikationspartnern.;Ein Protokoll ignoriert Regeln für den Aufbau, die Übertragung und die Verarbeitung von Informationen zwischen Kommunikationspartnern.;Ein Protokoll definiert nicht Regeln für den Aufbau, die Übertragung und die Verarbeitung von Informationen zwischen Kommunikationspartnern.;Ein Protokoll definiert Regeln für den Aufbau, die Übertragung oder die Verarbeitung von Informationen zwischen Kommunikationspartnern.
Was ist ein Serverdienst?;Ein Serverdienst ist eine auf einem Server bereitgestellte Funktion, die von Clients genutzt werden kann.;Ein Serverdienst ist nicht eine auf einem Server bereitgestellte Funktion, die von Clients genutzt werden kann.;Ein Serverdienst ist ausschließlich eine auf einem Server bereitgestellte Funktion, die von Clients genutzt werden kann.;Ein Serverdienst ist eine auf einem Server bereitgestellte Funktion nicht, die von Clients genutzt werden kann.
Was ist Peer-to-Peer?;Bei Peer-to-Peer kommunizieren gleichrangige Systeme direkt miteinander, ohne dass ein zentraler Server zwingend erforderlich ist.;Bei Peer-to-Peer kommunizieren gleichrangige Systeme direkt miteinander, ohne dass ein zentraler Client zwingend erforderlich ist.;Bei Peer-to-Peer kommunizieren gleichrangige Systeme direkt miteinander, ohne dass ein zentraler Server zwingend erforderlich ist nicht.;Bei Peer-to-Peer kommunizieren gleichrangige Systeme direkt miteinander nicht, ohne dass ein zentraler Server zwingend erforderlich ist.
Was ist das Client-Server-Modell?;Im Client-Server-Modell fordert ein Client Dienste oder Ressourcen an, die ein Server bereitstellt.;Im Client-Server-Modell fordert ein Client Dienste und Ressourcen an, die ein Server bereitstellt.;Im Client-Server-Modell fordert ein Client Dienste oder Ressourcen an nicht, die ein Server bereitstellt.;Im Client-Server-Modell fordert ein Client Dienste oder Ressourcen an, die ein Server bereitstellt nicht.
Was ist Dokumentation?;Dokumentation hält Informationen zu Systemen, Konfigurationen, Abläufen und Änderungen nachvollziehbar fest.;Dokumentation hält Informationen zu Systemen, Konfigurationen, Abläufen oder Änderungen nachvollziehbar fest.;Dokumentation hält Informationen zu Systemen nicht, Konfigurationen, Abläufen und Änderungen nachvollziehbar fest.;Dokumentation hält Informationen zu Systemen, Konfigurationen, Abläufen und Änderungen nachvollziehbar fest nicht.
