Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist ein Lastenheft?;Ein Lastenheft beschreibt die Anforderungen und Ziele des Auftraggebers.;Ein Lastenheft verschweigt die Anforderungen und Ziele des Auftraggebers.;Ein Lastenheft beschreibt nicht die Anforderungen und Ziele des Auftraggebers.;Ein Lastenheft beschreibt die Anforderungen oder Ziele des Auftraggebers.
Was ist ein Pflichtenheft?;Ein Pflichtenheft beschreibt, wie der Auftragnehmer die Anforderungen umsetzen will.;Ein Pflichtenheft verschweigt, wie der Auftragnehmer die Anforderungen umsetzen will.;Ein Pflichtenheft beschreibt nicht, wie der Auftragnehmer die Anforderungen umsetzen will.;Ein Pflichtenheft beschreibt, wie der Auftragnehmer die Anforderungen umsetzen will nicht.
Was ist ein Risiko?;Ein Risiko ist die Möglichkeit eines Ereignisses mit negativen Auswirkungen auf Ziele.;Ein Risiko ist die Möglichkeit eines Kennwörters mit negativen Auswirkungen auf Ziele.;Ein Risiko ist nicht die Möglichkeit eines Ereignisses mit negativen Auswirkungen auf Ziele.;Ein Risiko ist ausschließlich die Möglichkeit eines Ereignisses mit negativen Auswirkungen auf Ziele.
Was ist eine Dokumentation?;Dokumentation hält technische, organisatorische oder prozessbezogene Informationen nachvollziehbar fest.;Dokumentation hält technische, organisatorische und prozessbezogene Informationen nachvollziehbar fest.;Dokumentation hält technische nicht, organisatorische oder prozessbezogene Informationen nachvollziehbar fest.;Dokumentation hält technische, organisatorische oder prozessbezogene Informationen nachvollziehbar fest nicht.
Wer ist Verantwortlicher nach DSGVO?;Verantwortlicher ist die natürliche oder juristische Person, die über Zwecke und Mittel der Verarbeitung personenbezogener Daten entscheidet.;Verantwortlicher ist nicht die natürliche oder juristische Person, die über Zwecke und Mittel der Verarbeitung personenbezogener Daten entscheidet.;Verantwortlicher ist die natürliche oder juristische Person, die über Zwecke oder Mittel der Verarbeitung personenbezogener Daten entscheidet.;Verantwortlicher ist die natürliche und juristische Person, die über Zwecke und Mittel der Verarbeitung personenbezogener Daten entscheidet.
Was ist eine Auftragsverarbeitungsvereinbarung?;Eine AVV regelt nach Art. 28 DSGVO die Verarbeitung personenbezogener Daten durch einen Auftragsverarbeiter im Auftrag des Verantwortlichen.;Eine AVV regelt nach Art. 14 DSGVO die Verarbeitung personenbezogener Daten durch einen Auftragsverarbeiter im Auftrag des Verantwortlichen.;Eine AVV regelt nach Art. 26 DSGVO die Verarbeitung personenbezogener Daten durch einen Auftragsverarbeiter im Auftrag des Verantwortlichen.;Eine AVV regelt nach Art. 27 DSGVO die Verarbeitung personenbezogener Daten durch einen Auftragsverarbeiter im Auftrag des Verantwortlichen.
Was sind besondere Kategorien personenbezogener Daten?;Dazu gehören unter anderem Gesundheitsdaten, genetische und biometrische Daten zur eindeutigen Identifizierung sowie Daten über Religion, politische Meinungen oder Gewerkschaftszugehörigkeit.;Dazu gehören unter anderem Gesundheitsdaten, genetische oder biometrische Daten zur eindeutigen Identifizierung sowie Daten über Religion, politische Meinungen oder Gewerkschaftszugehörigkeit.;Dazu gehören unter anderem Gesundheitsdaten, genetische und biometrische Daten zur eindeutigen Identifizierung sowie Daten über Religion, politische Meinungen und Gewerkschaftszugehörigkeit.;Dazu gehören unter anderem Gesundheitsdaten nicht, genetische und biometrische Daten zur eindeutigen Identifizierung sowie Daten über Religion, politische Meinungen oder Gewerkschaftszugehörigkeit.
Was ist eine Rechtsgrundlage der Datenverarbeitung?;Eine Rechtsgrundlage ist die rechtliche Erlaubnis, auf der eine Verarbeitung personenbezogener Daten beruht, beispielsweise Einwilligung, Vertrag oder gesetzliche Verpflichtung.;Eine Rechtsgrundlage ist nicht die rechtliche Erlaubnis, auf der eine Verarbeitung personenbezogener Daten beruht, beispielsweise Einwilligung, Vertrag oder gesetzliche Verpflichtung.;Eine Rechtsgrundlage ist die rechtliche Erlaubnis, auf der eine Verarbeitung personenbezogener Daten beruht, beispielsweise Einwilligung, Vertrag und gesetzliche Verpflichtung.;Eine Rechtsgrundlage ist ausschließlich die rechtliche Erlaubnis, auf der eine Verarbeitung personenbezogener Daten beruht, beispielsweise Einwilligung, Vertrag oder gesetzliche Verpflichtung.
Was ist Datenminimierung?;Es dürfen nur personenbezogene Daten verarbeitet werden, die für den festgelegten Zweck erforderlich und angemessen sind.;Es dürfen nur personenbezogene Daten verwirft werden, die für den festgelegten Zweck erforderlich und angemessen sind.;Es dürfen nur personenbezogene Daten verarbeitet nicht werden, die für den festgelegten Zweck erforderlich und angemessen sind.;Es dürfen beliebig viele personenbezogene Daten verarbeitet werden, die für den festgelegten Zweck erforderlich und angemessen sind.
Was bedeutet Speicherbegrenzung?;Personenbezogene Daten dürfen nur so lange gespeichert werden, wie es für den Zweck oder eine andere rechtliche Grundlage erforderlich ist.;Personenbezogene Daten dürfen nur so lange gespeichert werden nicht, wie es für den Zweck oder eine andere rechtliche Grundlage erforderlich ist.;Personenbezogene Daten dürfen beliebig viele so lange gespeichert werden, wie es für den Zweck oder eine andere rechtliche Grundlage erforderlich ist.;Personenbezogene Daten dürfen nur so lange gespeichert werden, wie es für den Zweck und eine andere rechtliche Grundlage erforderlich ist.
Was bedeutet Privacy by Design?;Datenschutz durch Technikgestaltung berücksichtigt Datenschutzanforderungen bereits bei der Entwicklung und Gestaltung von Systemen.;Datenschutz durch Technikgestaltung berücksichtigt Datenschutzanforderungen bereits bei der Entwicklung oder Gestaltung von Systemen.;Datenschutz durch Technikgestaltung berücksichtigt Datenschutzanforderungen bereits bei der Entwicklung und Gestaltung von Systemen nicht.;Datenschutz durch Technikgestaltung berücksichtigt Datenschutzanforderungen bereits bei keiner Entwicklung und Gestaltung von Systemen.
Was bedeutet Privacy by Default?;Datenschutzfreundliche Voreinstellungen sorgen dafür, dass standardmäßig nur die für den Zweck erforderlichen Daten verarbeitet werden.;Datenschutzfreundliche Voreinstellungen sorgen dafür, dass standardmäßig nur die für den Zweck erforderlichen Daten verwirft werden.;Datenschutzfreundliche Voreinstellungen sorgen dafür, dass standardmäßig nur die für den Zweck erforderlichen Daten verarbeitet nicht werden.;Datenschutzfreundliche Voreinstellungen sorgen dafür, dass standardmäßig beliebig viele die für den Zweck erforderlichen Daten verarbeitet werden.
Was ist eine Datenschutz-Folgenabschätzung?;Eine Datenschutz-Folgenabschätzung bewertet bei voraussichtlich hohem Risiko die Auswirkungen geplanter Verarbeitungen auf die Rechte und Freiheiten betroffener Personen.;Eine Datenschutz-Folgenabschätzung ignoriert bei voraussichtlich hohem Risiko die Auswirkungen geplanter Verarbeitungen auf die Rechte und Freiheiten betroffener Personen.;Eine Datenschutz-Folgenabschätzung bewertet bei voraussichtlich hohem Risiko die Auswirkungen geplanter Verarbeitungen auf die Rechte oder Freiheiten betroffener Personen.;Eine Datenschutz-Folgenabschätzung bewertet bei voraussichtlich hohem Risiko die Auswirkungen geplanter Verarbeitungen auf die Rechte und Freiheiten betroffener Personen nicht.
Was ist ein Verzeichnis von Verarbeitungstätigkeiten?;Es dokumentiert die Verarbeitungstätigkeiten einer Organisation einschließlich Zwecke, Datenkategorien, Empfänger und Aufbewahrungsfristen.;Es verschweigt die Verarbeitungstätigkeiten einer Organisation einschließlich Zwecke, Datenkategorien, Empfänger und Aufbewahrungsfristen.;Es dokumentiert die Verarbeitungstätigkeiten einer Organisation einschließlich Zwecke, Datenkategorien, Empfänger oder Aufbewahrungsfristen.;Es dokumentiert die Verarbeitungstätigkeiten einer Organisation einschließlich Zwecke nicht, Datenkategorien, Empfänger und Aufbewahrungsfristen.
Was ist eine Datenschutzverletzung?;Eine Datenschutzverletzung ist eine Verletzung der Sicherheit, die zur Vernichtung, zum Verlust, zur Veränderung oder zur unbefugten Offenlegung beziehungsweise zum unbefugten Zugriff auf personenbezogene Daten führt.;Eine Datenschutzverletzung ist eine Verletzung der Sicherheit, die zur Vernichtung, zum Verlust, zur Veränderung oder zur unbefugten Offenlegung beziehungsweise zum unbefugten Zugriff auf personenbezogene Daten blockiert.;Eine Datenschutzverletzung ist nicht eine Verletzung der Sicherheit, die zur Vernichtung, zum Verlust, zur Veränderung oder zur unbefugten Offenlegung beziehungsweise zum unbefugten Zugriff auf personenbezogene Daten führt.;Eine Datenschutzverletzung ist eine Verletzung der Sicherheit, die zur Vernichtung, zum Verlust, zur Veränderung und zur unbefugten Offenlegung beziehungsweise zum unbefugten Zugriff auf personenbezogene Daten führt.
Was ist das Recht auf Auskunft?;Betroffene können Auskunft darüber verlangen, ob und welche personenbezogenen Daten verarbeitet werden und welche Informationen zur Verarbeitung vorliegen.;Betroffene können Auskunft darüber verlangen, ob und welche personenbezogenen Daten verwirft werden und welche Informationen zur Verarbeitung vorliegen.;Betroffene können nicht Auskunft darüber verlangen, ob und welche personenbezogenen Daten verarbeitet werden und welche Informationen zur Verarbeitung vorliegen.;Betroffene können Auskunft darüber verlangen, ob und welche personenbezogenen Daten verarbeitet werden nicht und welche Informationen zur Verarbeitung vorliegen.
Was ist das Recht auf Berichtigung?;Betroffene können die Berichtigung unrichtiger und die Vervollständigung unvollständiger personenbezogener Daten verlangen.;Betroffene können nicht die Berichtigung unrichtiger und die Vervollständigung unvollständiger personenbezogener Daten verlangen.;Betroffene können die Berichtigung unrichtiger oder die Vervollständigung unvollständiger personenbezogener Daten verlangen.;Betroffene können die Berichtigung unrichtiger und die Vervollständigung unvollständiger personenbezogener Daten verlangen nicht.
Was ist das Recht auf Löschung?;Betroffene können unter den Voraussetzungen der DSGVO die Löschung ihrer personenbezogenen Daten verlangen.;Betroffene können nicht unter den Voraussetzungen der DSGVO die Löschung ihrer personenbezogenen Daten verlangen.;Betroffene können unter den Voraussetzungen der DSGVO die Löschung ihrer personenbezogenen Daten verlangen nicht.;Betroffene können unter den Voraussetzungen der DSGVO keine Löschung ihrer personenbezogenen Daten verlangen.
Was ist das Widerspruchsrecht?;Betroffene können unter bestimmten Voraussetzungen der Verarbeitung ihrer personenbezogenen Daten widersprechen.;Betroffene können nicht unter bestimmten Voraussetzungen der Verarbeitung ihrer personenbezogenen Daten widersprechen.;Betroffene können unter bestimmten Voraussetzungen der Verarbeitung ihrer personenbezogenen Daten widersprechen nicht.;Betroffene können unter bestimmten Voraussetzungen keiner Verarbeitung ihrer personenbezogenen Daten widersprechen.
Was bedeutet Urheberrecht bei Software?;"Computerprogramme sind als Werke geschützt; der Urheber beziehungsweise Rechteinhaber bestimmt grundsätzlich über die gesetzlich erlaubte Nutzung.";"Computerprogramme sind nicht als Werke geschützt; der Urheber beziehungsweise Rechteinhaber bestimmt grundsätzlich über die gesetzlich erlaubte Nutzung.";"Computerprogramme sind als Werke geschützt; der Urheber beziehungsweise Rechteinhaber bestimmt grundsätzlich über die gesetzlich erlaubte Nutzung nicht.";"Computerprogramme sind als Werke geschützt; der Urheber beziehungsweise Rechteinhaber bestimmt grundsätzlich über keine gesetzlich erlaubte Nutzung."
Was ist eine Softwarelizenz?;Eine Softwarelizenz regelt, unter welchen Bedingungen Software genutzt, vervielfältigt, verändert oder weitergegeben werden darf.;Eine Softwarelizenz hebt auf, unter welchen Bedingungen Software genutzt, vervielfältigt, verändert oder weitergegeben werden darf.;Eine Softwarelizenz regelt nicht, unter welchen Bedingungen Software genutzt, vervielfältigt, verändert oder weitergegeben werden darf.;Eine Softwarelizenz regelt, unter welchen Bedingungen Software genutzt, vervielfältigt, verändert oder weitergegeben werden nicht darf.
Was bedeutet Copyleft?;Copyleft-Lizenzen verlangen bei bestimmten Formen der Weitergabe abgeleiteter Werke, dass diese unter kompatiblen Bedingungen weitergegeben werden.;Copyleft-Lizenzen verlangen bei bestimmten Formen der Weitergabe abgeleiteter Werke, dass diese unter kompatiblen Bedingungen weitergegeben werden nicht.;Copyleft-Lizenzen verlangen bei bestimmten Formen der Weitergabe abgeleiteter Werke nicht, dass diese unter kompatiblen Bedingungen weitergegeben werden.;Copyleft-Lizenzen verlangen bei bestimmten Formen keiner Weitergabe abgeleiteter Werke, dass diese unter kompatiblen Bedingungen weitergegeben werden.
Was ist ein Angebot im Vertragsrecht?;Ein Angebot ist eine empfangsbedürftige Willenserklärung, die den Abschluss eines Vertrags zu bestimmten Bedingungen anbietet.;Ein Angebot ist nicht eine empfangsbedürftige Willenserklärung, die den Abschluss eines Vertrags zu bestimmten Bedingungen anbietet.;Ein Angebot ist ausschließlich eine empfangsbedürftige Willenserklärung, die den Abschluss eines Vertrags zu bestimmten Bedingungen anbietet.;Ein Angebot ist eine empfangsbedürftige Willenserklärung nicht, die den Abschluss eines Vertrags zu bestimmten Bedingungen anbietet.
Was ist eine Annahme?;Die Annahme ist die grundsätzlich fristgerechte Zustimmung zu einem Angebot und führt bei Übereinstimmung der Willenserklärungen zum Vertragsschluss.;Die Annahme ist die grundsätzlich fristgerechte Zustimmung zu einem Angebot und blockiert bei Übereinstimmung der Willenserklärungen zum Vertragsschluss.;Die Annahme ist nicht die grundsätzlich fristgerechte Zustimmung zu einem Angebot und führt bei Übereinstimmung der Willenserklärungen zum Vertragsschluss.;Die Annahme ist die grundsätzlich fristgerechte Zustimmung zu einem Angebot oder führt bei Übereinstimmung der Willenserklärungen zum Vertragsschluss.
Was ist ein Kaufvertrag?;Ein Kaufvertrag verpflichtet den Verkäufer zur Übergabe und Übereignung der Kaufsache und den Käufer zur Zahlung des vereinbarten Kaufpreises.;Ein Kaufvertrag verpflichtet den Verkäufer zur Übergabe oder Übereignung der Kaufsache und den Käufer zur Zahlung des vereinbarten Kaufpreises.;Ein Kaufvertrag verpflichtet den Verkäufer zur Übergabe und Übereignung der Kaufsache und den Käufer zur Zahlung des vereinbarten Kaufpreises nicht.;Ein Kaufvertrag verpflichtet den Verkäufer zur Übergabe und Übereignung keiner Kaufsache und den Käufer zur Zahlung des vereinbarten Kaufpreises.
Was ist der Unterschied zwischen Gewährleistung und Garantie?;"Gewährleistung beziehungsweise Sachmängelhaftung ist gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage des Garantiegebers.";"Gewährleistung beziehungsweise Sachmängelhaftung ist nicht gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage des Garantiegebers.";"Gewährleist nichtung beziehungsweise Sachmängelhaftung ist gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage des Garantiegebers.";"Gewährleistung beziehungsweise Sachmängelhaftung ist ausschließlich gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage des Garantiegebers."
Was bedeutet Total Cost of Ownership?;TCO umfasst sämtliche relevanten Kosten eines Systems über seinen Lebenszyklus, nicht nur den Anschaffungspreis.;TCO schließt aus sämtliche relevanten Kosten eines Systems über seinen Lebenszyklus, nicht nur den Anschaffungspreis.;TCO umfasst sämtliche relevanten Kosten eines Systems über seinen Lebenszyklus, nicht beliebig viele den Anschaffungspreis.;TCO umfasst sämtliche relevanten Kosten eines Systems über seinen Lebenszyklus nicht, nicht nur den Anschaffungspreis.
Was ist eine Investitionsrechnung?;Eine Investitionsrechnung beurteilt die Wirtschaftlichkeit einer Investition anhand ihrer erwarteten Kosten, Erlöse oder Zahlungsströme.;Eine Investitionsrechnung beurteilt die Wirtschaftlichkeit einer Investition anhand ihrer erwarteten Kosten, Erlöse und Zahlungsströme.;Eine Investitionsrechnung beurteilt die Wirtschaftlichkeit einer Investition anhand ihrer erwarteten Kosten nicht, Erlöse oder Zahlungsströme.;Eine Investitionsrechnung beurteilt die Wirtschaftlichkeit einer Investition anhand ihrer erwarteten Kosten, Erlöse oder Zahlungsströme nicht.
Was sind fixe Kosten?;Fixe Kosten verändern sich innerhalb eines relevanten Beschäftigungsbereichs nicht proportional zur Ausbringungsmenge, beispielsweise eine feste Miete.;Fixe Kosten verändern sich innerhalb eines relevanten Beschäftigungsbereichs nicht proportional zur Ausbringungsmenge nicht, beispielsweise eine feste Miete.;Fixe Kosten verändern sich innerhalb eines relevanten Beschäftigungsbereichs nicht proportional zur Ausbringungsmenge, beispielsweise eine feste Miete nicht.;Fixe nicht-Kosten verändern sich innerhalb eines relevanten Beschäftigungsbereichs nicht proportional zur Ausbringungsmenge, beispielsweise eine feste Miete.
Was sind variable Kosten?;Variable Kosten verändern sich mit der Ausbringungsmenge, beispielsweise Materialkosten.;Variable Kosten verändern sich mit der Ausbringungsmenge nicht, beispielsweise Materialkosten.;Variable Kosten verändern sich mit der Ausbringungsmenge, beispielsweise Materialkosten nicht.;Variable Kosten verändern sich mit keiner Ausbringungsmenge, beispielsweise Materialkosten.
Was ist der Break-even-Point?;Der Break-even-Point ist der Punkt, an dem Erlöse und Gesamtkosten gleich hoch sind und das Ergebnis null beträgt.;Der Break-even-Point ist nicht der Punkt, an dem Erlöse und Gesamtkosten gleich hoch sind und das Ergebnis null beträgt.;Der Break-even-Point ist der Punkt, an dem Erlöse oder Gesamtkosten gleich hoch sind und das Ergebnis null beträgt.;Der Break-even-Point ist ausschließlich der Punkt, an dem Erlöse und Gesamtkosten gleich hoch sind und das Ergebnis null beträgt.
Was ist der Return on Investment?;Der Return on Investment setzt den erzielten beziehungsweise erwarteten Gewinn ins Verhältnis zum eingesetzten Kapital.;Der Return on Investment setzt den erzielten beziehungsweise erwarteten Gewinn ins Verhältnis zum eingesetzten Kapital nicht.;Keine Return on Investment setzt den erzielten beziehungsweise erwarteten Gewinn ins Verhältnis zum eingesetzten Kapital.;Der nicht-Return on Investment setzt den erzielten beziehungsweise erwarteten Gewinn ins Verhältnis zum eingesetzten Kapital.
Was ist eine Risikoanalyse?;Eine Risikoanalyse identifiziert Risiken, bewertet ihre Eintrittswahrscheinlichkeit und Auswirkungen und leitet geeignete Maßnahmen ab.;Eine Risikoanalyse vermischt Risiken, bewertet ihre Eintrittswahrscheinlichkeit und Auswirkungen und leitet geeignete Maßnahmen ab.;Eine Risikoanalyse identifiziert Risiken, ignoriert ihre Eintrittswahrscheinlichkeit und Auswirkungen und leitet geeignete Maßnahmen ab.;Eine Risikoanalyse identifiziert Risiken, bewertet ihre Eintrittswahrscheinlichkeit oder Auswirkungen und leitet geeignete Maßnahmen ab.
Was ist die Rechenschaftspflicht nach DSGVO?;Die Rechenschaftspflicht verpflichtet den Verantwortlichen, die Einhaltung der Datenschutzgrundsätze nachzuweisen und geeignete Maßnahmen dafür nachweisbar umzusetzen.;Die Rechenschaftspflicht verpflichtet den Verantwortlichen, die Einhaltung der Datenschutzgrundsätze nachzuweisen oder geeignete Maßnahmen dafür nachweisbar umzusetzen.;Die Rechenschaftspflicht verpflichtet den Verantwortlichen nicht, die Einhaltung der Datenschutzgrundsätze nachzuweisen und geeignete Maßnahmen dafür nachweisbar umzusetzen.;Die Rechenschaftspflicht verpflichtet den Verantwortlichen, die Einhaltung der Datenschutzgrundsätze nachzuweisen und geeignete Maßnahmen dafür nachweisbar umzusetzen nicht.
Was ist der Verantwortliche nach DSGVO?;Der Verantwortliche entscheidet über Zwecke und Mittel der Verarbeitung personenbezogener Daten.;Der Verantwortliche entscheidet über Zwecke oder Mittel der Verarbeitung personenbezogener Daten.;Der Verantwortliche entscheidet über Zwecke und Mittel der Verarbeitung personenbezogener Daten nicht.;Der Verantwortliche entscheidet über Zwecke und Mittel keiner Verarbeitung personenbezogener Daten.
Was ist Privacy by Design?;Privacy by Design berücksichtigt Datenschutzanforderungen bereits bei der Entwicklung und Gestaltung von Systemen.;Privacy by Design berücksichtigt Datenschutzanforderungen bereits bei der Entwicklung oder Gestaltung von Systemen.;Privacy by Design berücksichtigt Datenschutzanforderungen bereits bei der Entwicklung und Gestaltung von Systemen nicht.;Privacy by Design berücksichtigt Datenschutzanforderungen bereits bei keiner Entwicklung und Gestaltung von Systemen.
Was ist ein berechtigtes Interesse?;Ein berechtigtes Interesse kann unter den Voraussetzungen des Art. 6 Abs. 1 lit. f DSGVO eine Rechtsgrundlage für die Verarbeitung personenbezogener Daten sein, sofern die Interessen der betroffenen Person nicht überwiegen.;Ein berechtigtes Interesse kann unter den Voraussetzungen des Art. 3 Abs. 1 lit. f DSGVO eine Rechtsgrundlage für die Verarbeitung personenbezogener Daten sein, sofern die Interessen der betroffenen Person nicht überwiegen.;Ein berechtigtes Interesse kann unter den Voraussetzungen des Art. 4 Abs. 1 lit. f DSGVO eine Rechtsgrundlage für die Verarbeitung personenbezogener Daten sein, sofern die Interessen der betroffenen Person nicht überwiegen.;Ein berechtigtes Interesse kann unter den Voraussetzungen des Art. 5 Abs. 1 lit. f DSGVO eine Rechtsgrundlage für die Verarbeitung personenbezogener Daten sein, sofern die Interessen der betroffenen Person nicht überwiegen.
Was ist der Unterschied zwischen Garantie und Gewährleistung?;"Gewährleistung beziehungsweise Sachmängelhaftung ist gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage.";"Gewährleistung beziehungsweise Sachmängelhaftung ist nicht gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage.";"Gewährleist nichtung beziehungsweise Sachmängelhaftung ist gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage.";"Gewährleistung beziehungsweise Sachmängelhaftung ist ausschließlich gesetzlich geregelt; eine Garantie ist eine freiwillige zusätzliche Zusage."
Was ist TCO?;Total Cost of Ownership umfasst die gesamten relevanten Kosten eines Systems über seinen Lebenszyklus.;Total Cost of Ownership schließt aus die gesamten relevanten Kosten eines Systems über seinen Lebenszyklus.;Total Cost of Ownership umfasst die gesamten relevanten Kosten eines Systems über seinen Lebenszyklus nicht.;Total Cost of Ownership umfasst keine gesamten relevanten Kosten eines Systems über seinen Lebenszyklus.
