Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist IT-Service-Continuity-Management?;IT-Service-Continuity-Management plant die Wiederherstellung kritischer Services nach schwerwiegenden Störungen.;IT-Service-Continuity-Management speichert ausschließlich Passwörter und Zugangsdaten.;IT-Service-Continuity-Management ersetzt ein vollständiges Backup aller Dateien.;IT-Service-Continuity-Management ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Servicekatalog?;Ein Servicekatalog enthält die angebotenen IT-Services und relevante Informationen wie Leistungen, Zuständigkeiten und Bestellwege.;Ein Servicekatalog entlöscht die angebotenen IT-Services und relevante Informationen wie Leistungen, Zuständigkeiten und Bestellwege.;Ein Servicekatalog entversteckt die angebotenen IT-Services und relevante Informationen wie Leistungen, Zuständigkeiten und Bestellwege.;Ein Servicekatalog entverschlüsselt die angebotenen IT-Services und relevante Informationen wie Leistungen, Zuständigkeiten und Bestellwege.
Was ist ein Service Owner?;Der Service Owner trägt die fachliche Gesamtverantwortung für einen IT-Service über dessen Lebenszyklus.;Service Owner speichert ausschließlich Passwörter und Zugangsdaten.;Service Owner ersetzt ein vollständiges Backup aller Dateien.;Service Owner ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Continual Improvement?;Continual Improvement bezeichnet die systematische fortlaufende Verbesserung von Services, Prozessen und Arbeitsweisen.;Continual Improvement speichert ausschließlich Passwörter und Zugangsdaten.;Continual Improvement ersetzt ein vollständiges Backup aller Dateien.;Continual Improvement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Root Cause Analysis?;Eine Root Cause Analysis ermittelt systematisch die grundlegende Ursache eines Fehlers oder Problems.;Root Cause Analysis speichert ausschließlich Passwörter und Zugangsdaten.;Root Cause Analysis ersetzt ein vollständiges Backup aller Dateien.;Root Cause Analysis ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Standard Change?;Ein Standard Change ist eine vorab genehmigte, bekannte und risikoarme Änderung mit einem definierten Ablauf.;Standard Change speichert ausschließlich Passwörter und Zugangsdaten.;Standard Change ersetzt ein vollständiges Backup aller Dateien.;Standard Change ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Normal Change?;Ein Normal Change ist eine Änderung, die bewertet, geplant und nach einem geeigneten Genehmigungsverfahren durchgeführt wird.;Normal Change speichert ausschließlich Passwörter und Zugangsdaten.;Normal Change ersetzt ein vollständiges Backup aller Dateien.;Normal Change ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Emergency Change?;Ein Emergency Change ist eine dringende Änderung, die wegen eines hohen Risikos oder einer kritischen Störung beschleunigt behandelt werden muss.;Emergency Change speichert ausschließlich Passwörter und Zugangsdaten.;Emergency Change ersetzt ein vollständiges Backup aller Dateien.;Emergency Change ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist First-Level-Support?;First-Level-Support ist die erste Supportebene, die Anfragen entgegennimmt, klassifiziert und standardisierte Lösungen durchführt.;First-Level-Support speichert ausschließlich Passwörter und Zugangsdaten.;First-Level-Support ersetzt ein vollständiges Backup aller Dateien.;First-Level-Support ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Second-Level-Support?;Second-Level-Support bearbeitet technisch oder fachlich anspruchsvollere Fälle, die der First Level nicht lösen kann.;Second-Level-Support speichert ausschließlich Passwörter und Zugangsdaten.;Second-Level-Support ersetzt ein vollständiges Backup aller Dateien.;Second-Level-Support ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Third-Level-Support?;Third-Level-Support bearbeitet besonders komplexe Probleme, häufig mit tiefer Hersteller- oder Entwicklungskompetenz.;Third-Level-Support speichert ausschließlich Passwörter und Zugangsdaten.;Third-Level-Support ersetzt ein vollständiges Backup aller Dateien.;Third-Level-Support ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Known-Error-Datenbank?;Eine Known-Error-Datenbank enthält dokumentierte bekannte Fehler, ihre Ursachen und vorhandene Workarounds.;Eine Known-Error-Datenbank entlöscht dokumentierte bekannte Fehler, ihre Ursachen und vorhandene Workarounds.;Eine Known-Error-Datenbank entversteckt dokumentierte bekannte Fehler, ihre Ursachen und vorhandene Workarounds.;Eine Known-Error-Datenbank entverschlüsselt dokumentierte bekannte Fehler, ihre Ursachen und vorhandene Workarounds.
Was ist ein Service Level Objective?;Ein Service Level Objective ist ein konkretes messbares Leistungsziel eines IT-Services, beispielsweise eine vereinbarte Verfügbarkeit.;Service Level Objective speichert ausschließlich Passwörter und Zugangsdaten.;Service Level Objective ersetzt ein vollständiges Backup aller Dateien.;Service Level Objective ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Configuration Item?;Ein Configuration Item ist eine verwaltete Komponente, die für einen IT-Service relevant ist.;Ein Configuration Item ist eine ignorierte Komponente, die für einen IT-Service relevant ist.;Ein Configuration Item ist eine blockierte Komponente, die für einen IT-Service relevant ist.;Ein Configuration Item ist eine löschte Komponente, die für einen IT-Service relevant ist.
Was ist Redundanz?;Redundanz bedeutet, dass kritische Komponenten oder Daten mehrfach vorhanden sind, um Ausfälle abzufangen.;Redundanz speichert ausschließlich Passwörter und Zugangsdaten.;Redundanz ersetzt ein vollständiges Backup aller Dateien.;Redundanz ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
