Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist Malware?;Malware ist schädliche Software, beispielsweise ein Virus, Trojaner oder Ransomware.;Malware speichert ausschließlich Passwörter und Zugangsdaten.;Malware ersetzt ein vollständiges Backup aller Dateien.;Malware ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Patchmanagement?;Patchmanagement umfasst die Planung, Prüfung und Installation von Sicherheits- und Fehlerupdates.;Patchmanagement speichert ausschließlich Passwörter und Zugangsdaten.;Patchmanagement ersetzt ein vollständiges Backup aller Dateien.;Patchmanagement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Authentifizierung?;Authentifizierung ist der Nachweis der Identität eines Benutzers oder Systems.;Authentifizierung speichert ausschließlich Passwörter und Zugangsdaten.;Authentifizierung ersetzt ein vollständiges Backup aller Dateien.;Authentifizierung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Autorisierung?;Autorisierung legt fest, auf welche Ressourcen oder Funktionen ein bereits authentifizierter Benutzer zugreifen darf.;Autorisierung speichert ausschließlich Passwörter und Zugangsdaten.;Autorisierung ersetzt ein vollständiges Backup aller Dateien.;Autorisierung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Accounting?;Accounting bezeichnet die Erfassung und Zuordnung von Nutzungs- oder Aktivitätsdaten, beispielsweise für Abrechnung oder Nachvollziehbarkeit.;Accounting speichert ausschließlich Passwörter und Zugangsdaten.;Accounting ersetzt ein vollständiges Backup aller Dateien.;Accounting ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Welche drei Faktorarten gibt es bei MFA?;Wissensfaktoren wie Passwort, Besitzfaktoren wie Token und Inhärenzfaktoren wie biometrische Merkmale.;Wissensfaktoren speichert ausschließlich Passwörter und Zugangsdaten.;Wissensfaktoren ersetzt ein vollständiges Backup aller Dateien.;Wissensfaktoren ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Salt bei Passwort-Hashes?;Ein Salt ist ein zufälliger Zusatzwert, der vor dem Hashen mit dem Passwort kombiniert wird und gleiche Passwörter unterschiedlich erscheinen lässt.;Salt bei Passwort-Hashes speichert ausschließlich Passwörter und Zugangsdaten.;Salt bei Passwort-Hashes ersetzt ein vollständiges Backup aller Dateien.;Salt bei Passwort-Hashes ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein digitales Zertifikat?;Ein digitales Zertifikat bindet einen öffentlichen Schlüssel an eine Identität und wird von einer Zertifizierungsstelle signiert.;digitales Zertifikat speichert ausschließlich Passwörter und Zugangsdaten.;digitales Zertifikat ersetzt ein vollständiges Backup aller Dateien.;digitales Zertifikat ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Public Key Infrastructure?;Eine PKI umfasst Verfahren, Rollen und Systeme zur Ausstellung, Verwaltung, Prüfung und Sperrung digitaler Zertifikate.;Public Key Infrastructure speichert ausschließlich Passwörter und Zugangsdaten.;Public Key Infrastructure ersetzt ein vollständiges Backup aller Dateien.;Public Key Infrastructure ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine digitale Signatur?;Eine digitale Signatur wird mit dem privaten Schlüssel des Signierenden erzeugt und ermöglicht die Prüfung von Authentizität und Integrität.;Eine digitale Signatur wird mit dem privaten Schlüssel des Signierenden erzeugt und verhindert die Prüfung von Authentizität und Integrität.;Eine digitale Signatur wird mit dem privaten Schlüssel des Signierenden erzeugt und blockiert die Prüfung von Authentizität und Integrität.;Eine digitale Signatur wird mit dem privaten Schlüssel des Signierenden erzeugt und beendet die Prüfung von Authentizität und Integrität.
Was ist ein Firewall?;Eine Firewall kontrolliert Netzwerkverkehr anhand definierter Regeln und erlaubt oder blockiert Verbindungen.;Eine Firewall kontrolliert Netzwerkverkehr anhand definierter Regeln und verbietet oder blockiert Verbindungen.;Eine Firewall kontrolliert Netzwerkverkehr anhand definierter Regeln und löscht oder blockiert Verbindungen.;Eine Firewall kontrolliert Netzwerkverkehr anhand definierter Regeln und beendet oder blockiert Verbindungen.
Was ist ein IDS?;Ein Intrusion Detection System erkennt und meldet verdächtige oder regelwidrige Aktivitäten.;IDS speichert ausschließlich Passwörter und Zugangsdaten.;IDS ersetzt ein vollständiges Backup aller Dateien.;IDS ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein IPS?;Ein Intrusion Prevention System erkennt verdächtige Aktivitäten und kann sie aktiv blockieren.;IPS speichert ausschließlich Passwörter und Zugangsdaten.;IPS ersetzt ein vollständiges Backup aller Dateien.;IPS ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein VPN?;Ein VPN stellt einen geschützten Tunnel zwischen Endpunkten oder Netzwerken über ein fremdes oder öffentliches Netzwerk bereit.;VPN speichert ausschließlich Passwörter und Zugangsdaten.;VPN ersetzt ein vollständiges Backup aller Dateien.;VPN ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Netzwerksegmentierung?;Netzwerksegmentierung teilt ein Netzwerk in getrennte Bereiche auf, um Zugriffe zu begrenzen und die Ausbreitung von Angriffen zu reduzieren.;Netzwerksegmentierung teilt ein Netzwerk in geverbindet dauerhafte Bereiche auf, um Zugriffe zu begrenzen und die Ausbreitung von Angriffen zu reduzieren.;Netzwerksegmentierung teilt ein Netzwerk in gelöschte Bereiche auf, um Zugriffe zu begrenzen und die Ausbreitung von Angriffen zu reduzieren.;Netzwerksegmentierung teilt ein Netzwerk in gekopierte Bereiche auf, um Zugriffe zu begrenzen und die Ausbreitung von Angriffen zu reduzieren.
Was bedeutet Least Privilege?;Benutzer, Prozesse und Dienste erhalten nur die Rechte, die sie für ihre Aufgaben benötigen.;Least Privilege speichert ausschließlich Passwörter und Zugangsdaten.;Least Privilege ersetzt ein vollständiges Backup aller Dateien.;Least Privilege ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Defense in Depth?;Defense in Depth verwendet mehrere voneinander unabhängige Schutzmechanismen, sodass der Ausfall einer Maßnahme nicht zum vollständigen Schutzverlust führt.;Defense in Depth speichert ausschließlich Passwörter und Zugangsdaten.;Defense in Depth ersetzt ein vollständiges Backup aller Dateien.;Defense in Depth ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Hardening?;Hardening reduziert die Angriffsfläche eines Systems durch Deaktivieren unnötiger Funktionen, sichere Konfigurationen und aktuelle Software.;Hardening speichert ausschließlich Passwörter und Zugangsdaten.;Hardening ersetzt ein vollständiges Backup aller Dateien.;Hardening ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Patchmanagement?;Patchmanagement umfasst das Bewerten, Testen, Verteilen und Nachverfolgen von Sicherheits- und Funktionsupdates.;Patchmanagement speichert ausschließlich Passwörter und Zugangsdaten.;Patchmanagement ersetzt ein vollständiges Backup aller Dateien.;Patchmanagement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Social Engineering?;Social Engineering nutzt menschliche Verhaltensmuster und Täuschung, um Sicherheitsmaßnahmen zu umgehen.;Social Engineering speichert ausschließlich Passwörter und Zugangsdaten.;Social Engineering ersetzt ein vollständiges Backup aller Dateien.;Social Engineering ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Ransomware?;Ransomware blockiert oder verschlüsselt Daten beziehungsweise Systeme und fordert häufig eine Zahlung für die Freigabe.;Ransomware speichert ausschließlich Passwörter und Zugangsdaten.;Ransomware ersetzt ein vollständiges Backup aller Dateien.;Ransomware ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Sicherheitslücke?;Eine Sicherheitslücke ist eine Schwachstelle in Software, Hardware, Konfiguration oder Prozessen, die ausgenutzt werden kann.;Sicherheitslücke speichert ausschließlich Passwörter und Zugangsdaten.;Sicherheitslücke ersetzt ein vollständiges Backup aller Dateien.;Sicherheitslücke ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine CVE?;CVE ist ein standardisiertes Verzeichnis öffentlich bekannter Schwachstellen mit eindeutigen Identifikatoren.;CVE speichert ausschließlich Passwörter und Zugangsdaten.;CVE ersetzt ein vollständiges Backup aller Dateien.;CVE ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist CVSS?;CVSS ist ein Bewertungssystem zur Einschätzung des Schweregrads von Sicherheitslücken anhand definierter Kriterien.;CVSS speichert ausschließlich Passwörter und Zugangsdaten.;CVSS ersetzt ein vollständiges Backup aller Dateien.;CVSS ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein SIEM?;Ein SIEM sammelt, korreliert und analysiert sicherheitsrelevante Protokoll- und Ereignisdaten aus verschiedenen Quellen.;SIEM speichert ausschließlich Passwörter und Zugangsdaten.;SIEM ersetzt ein vollständiges Backup aller Dateien.;SIEM ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist EDR?;Endpoint Detection and Response überwacht Endgeräte auf verdächtige Aktivitäten und unterstützt Erkennung und Reaktion auf Vorfälle.;EDR speichert ausschließlich Passwörter und Zugangsdaten.;EDR ersetzt ein vollständiges Backup aller Dateien.;EDR ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Zero Trust?;Zero Trust ist ein Sicherheitsmodell, das grundsätzlich keinem Benutzer oder Gerät implizit vertraut und Zugriffe kontextabhängig überprüft.;Zero Trust ist ein Sicherheitsmodell, das grundsätzlich keinem Benutzer oder Gerät implizit vertraut und Zugriffe kontextabhängig überignoriert.;Zero Trust ist ein Sicherheitsmodell, das grundsätzlich keinem Benutzer oder Gerät implizit vertraut und Zugriffe kontextabhängig überlöscht.;Zero Trust ist ein Sicherheitsmodell, das grundsätzlich keinem Benutzer oder Gerät implizit vertraut und Zugriffe kontextabhängig überstartet.
Was ist ein Security Baseline?;Eine Security Baseline beschreibt einen definierten Mindeststandard für sichere Konfigurationen eines Systems.;Security Baseline speichert ausschließlich Passwörter und Zugangsdaten.;Security Baseline ersetzt ein vollständiges Backup aller Dateien.;Security Baseline ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Sicherheitsvorfall?;Ein Sicherheitsvorfall ist ein Ereignis, das die Vertraulichkeit, Integrität oder Verfügbarkeit von Informationen oder Systemen beeinträchtigen kann.;Sicherheitsvorfall speichert ausschließlich Passwörter und Zugangsdaten.;Sicherheitsvorfall ersetzt ein vollständiges Backup aller Dateien.;Sicherheitsvorfall ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Incident Response?;Incident Response umfasst die Erkennung, Analyse, Eindämmung, Beseitigung und Nachbereitung von Sicherheitsvorfällen.;Incident Response speichert ausschließlich Passwörter und Zugangsdaten.;Incident Response ersetzt ein vollständiges Backup aller Dateien.;Incident Response ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Warum gehören Backups zur IT-Sicherheit?;Backups ermöglichen die Wiederherstellung von Daten nach Verlust, Beschädigung, Fehlbedienung oder Schadsoftwarebefall.;Backups speichert ausschließlich Passwörter und Zugangsdaten.;Backups ersetzt ein vollständiges Backup aller Dateien.;Backups ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine DMZ?;Eine DMZ ist ein logisch abgegrenztes Netzwerksegment für öffentlich erreichbare Systeme, das vom internen Netz getrennt wird.;Eine DMZ ist ein logisch abgegrenztes Netzwerksegment für öffentlich erreichbare Systeme, das vom internen Netz geverbindet dauerhaft wird.;Eine DMZ ist ein logisch abgegrenztes Netzwerksegment für öffentlich erreichbare Systeme, das vom internen Netz gelöscht wird.;Eine DMZ ist ein logisch abgegrenztes Netzwerksegment für öffentlich erreichbare Systeme, das vom internen Netz gekopiert wird.
Was ist Zugriffskontrolle?;Zugriffskontrolle bestimmt, welche Subjekte auf welche Ressourcen mit welchen Rechten zugreifen dürfen.;Zugriffskontrolle speichert ausschließlich Passwörter und Zugangsdaten.;Zugriffskontrolle ersetzt ein vollständiges Backup aller Dateien.;Zugriffskontrolle ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Authentifizierungsrichtlinie?;Eine Authentifizierungsrichtlinie legt Regeln für den Nachweis von Benutzer- oder Geräteidentitäten fest.;Authentifizierungsrichtlinie speichert ausschließlich Passwörter und Zugangsdaten.;Authentifizierungsrichtlinie ersetzt ein vollständiges Backup aller Dateien.;Authentifizierungsrichtlinie ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Brute-Force-Angriff?;Bei einem Brute-Force-Angriff werden systematisch viele mögliche Zugangsdaten ausprobiert, bis ein gültiger Wert gefunden wird.;Brute-Force-Angriff speichert ausschließlich Passwörter und Zugangsdaten.;Brute-Force-Angriff ersetzt ein vollständiges Backup aller Dateien.;Brute-Force-Angriff ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Account Lockout?;Account Lockout sperrt ein Benutzerkonto nach einer definierten Anzahl fehlerhafter Anmeldeversuche für einen bestimmten Zeitraum oder bis zur Freigabe.;Account Lockout speichert ausschließlich Passwörter und Zugangsdaten.;Account Lockout ersetzt ein vollständiges Backup aller Dateien.;Account Lockout ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Netzwerk-Mikrosegmentierung?;Mikrosegmentierung teilt Netzwerke und Workloads sehr fein auf und beschränkt den Verkehr zwischen den Segmenten durch Richtlinien.;Netzwerk-Mikrosegmentierung speichert ausschließlich Passwörter und Zugangsdaten.;Netzwerk-Mikrosegmentierung ersetzt ein vollständiges Backup aller Dateien.;Netzwerk-Mikrosegmentierung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
